iter	Passed	Remaining
0	0	251
1	0	207
2	0	216
3	1	189
4	1	195
5	1	188
6	1	196
7	2	202
8	2	195
9	2	190
10	2	195
11	3	191
12	3	193
13	3	196
14	4	194
15	4	191
16	4	188
17	4	185
18	4	183
19	5	181
20	5	180
21	5	179
22	5	179
23	6	178
24	6	177
25	6	176
26	6	178
27	7	177
28	7	176
29	7	175
30	7	178
31	8	177
32	8	176
33	8	175
34	8	177
35	9	179
36	9	178
37	9	177
38	9	175
39	10	178
40	10	179
41	10	178
42	11	178
43	11	177
44	11	175
45	11	176
46	12	176
47	12	177
48	13	180
49	13	181
50	13	181
51	13	181
52	14	182
53	14	182
54	14	183
55	15	182
56	15	184
57	16	185
58	16	187
59	16	187
60	17	188
61	17	188
62	17	188
63	18	188
64	18	189
65	19	190
66	19	191
67	19	191
68	19	190
69	20	191
70	20	190
71	21	191
72	21	190
73	21	191
74	21	190
75	22	190
76	22	190
77	22	190
78	23	189
79	23	190
80	23	190
81	24	190
82	24	191
83	24	190
84	25	190
85	25	190
86	25	190
87	26	190
88	26	190
89	26	190
90	27	190
91	27	190
92	27	189
93	28	189
94	28	189
95	28	189
96	29	189
97	29	189
98	29	189
99	30	189
100	30	189
101	30	188
102	31	188
103	31	189
104	31	188
105	32	188
106	32	189
107	32	188
108	33	188
109	33	188
110	33	187
111	34	187
112	34	186
113	34	186
114	34	186
115	35	185
116	35	185
117	35	184
118	36	185
119	36	185
120	36	185
121	37	185
122	37	185
123	38	186
124	39	189
125	39	188
126	39	188
127	40	188
128	40	188
129	40	187
130	41	187
131	41	188
132	42	188
133	42	188
134	42	188
135	43	188
136	43	188
137	43	187
138	44	188
139	44	187
140	45	187
141	45	186
142	45	186
143	45	185
144	46	185
145	46	185
146	46	185
147	47	184
148	47	183
149	47	183
150	47	183
151	48	182
152	48	182
153	48	182
154	49	181
155	49	181
156	49	181
157	51	184
158	51	183
159	51	184
160	52	183
161	52	183
162	52	182
163	53	182
164	53	182
165	53	181
166	53	180
167	54	180
168	54	179
169	54	179
170	55	179
171	55	179
172	55	179
173	56	179
174	56	179
175	57	179
176	57	178
177	57	178
178	57	177
179	58	177
180	58	176
181	58	176
182	59	176
183	59	176
184	59	175
185	60	175
186	60	175
187	60	174
188	61	174
189	61	174
190	61	173
191	62	173
192	62	173
193	62	173
194	63	173
195	63	173
196	63	172
197	64	172
198	64	171
199	64	171
200	65	170
201	65	170
202	65	170
203	66	169
204	66	169
205	66	168
206	67	168
207	67	168
208	67	167
209	67	167
210	68	166
211	68	166
212	68	166
213	69	166
214	69	165
215	69	165
216	70	166
217	70	165
218	71	165
219	71	165
220	71	164
221	72	164
222	72	163
223	72	163
224	72	162
225	73	162
226	73	162
227	73	162
228	74	161
229	74	162
230	75	161
231	75	161
232	75	161
233	76	160
234	76	160
235	76	160
236	77	160
237	77	159
238	77	159
239	78	159
240	78	158
241	78	158
242	79	158
243	79	157
244	79	157
245	80	157
246	80	156
247	80	156
248	81	156
249	81	155
250	81	155
251	82	155
252	82	155
253	83	154
254	83	154
255	83	154
256	84	154
257	84	154
258	84	153
259	85	153
260	85	153
261	85	152
262	86	152
263	86	152
264	87	152
265	87	151
266	87	151
267	88	151
268	88	151
269	88	150
270	89	150
271	89	150
272	89	149
273	90	149
274	90	148
275	90	148
276	90	147
277	91	147
278	91	147
279	91	147
280	92	146
281	92	146
282	92	145
283	93	145
284	93	144
285	93	144
286	94	144
287	94	144
288	94	143
289	95	143
290	95	143
291	95	142
292	95	142
293	96	142
294	96	141
295	96	141
296	97	140
297	97	140
298	97	140
299	98	140
300	98	139
301	98	139
302	99	139
303	99	138
304	99	138
305	99	137
306	100	137
307	100	137
308	100	136
309	101	136
310	101	136
311	102	136
312	102	135
313	102	135
314	102	134
315	103	134
316	103	134
317	103	133
318	104	133
319	104	133
320	104	132
321	105	132
322	105	132
323	105	131
324	106	131
325	106	131
326	106	131
327	107	130
328	107	130
329	108	130
330	108	129
331	108	129
332	108	129
333	109	129
334	109	128
335	110	128
336	110	127
337	110	127
338	110	127
339	111	126
340	111	126
341	111	126
342	112	125
343	112	125
344	112	125
345	113	124
346	113	124
347	113	123
348	113	123
349	114	123
350	114	122
351	114	122
352	114	121
353	115	121
354	115	121
355	115	121
356	116	120
357	116	120
358	116	119
359	117	119
360	117	119
361	117	118
362	117	118
363	118	118
364	118	117
365	118	117
366	119	117
367	119	116
368	119	116
369	119	116
370	120	115
371	120	115
372	120	114
373	121	114
374	121	114
375	121	113
376	121	113
377	122	113
378	122	112
379	122	112
380	123	112
381	123	111
382	123	111
383	123	110
384	124	110
385	124	110
386	124	109
387	125	109
388	125	109
389	125	108
390	125	108
391	126	108
392	126	107
393	126	107
394	127	107
395	127	106
396	127	106
397	127	105
398	128	105
399	128	105
400	128	104
401	129	104
402	129	104
403	129	103
404	129	103
405	130	103
406	130	103
407	130	102
408	131	102
409	131	101
410	131	101
411	132	101
412	132	101
413	132	100
414	133	100
415	133	100
416	133	99
417	134	99
418	134	99
419	134	98
420	135	98
421	135	98
422	135	97
423	136	97
424	136	97
425	136	97
426	137	96
427	137	96
428	137	96
429	138	95
430	138	95
431	138	95
432	139	94
433	139	94
434	139	94
435	139	93
436	140	93
437	140	93
438	140	92
439	141	92
440	141	92
441	141	91
442	142	91
443	142	91
444	142	90
445	143	90
446	144	90
447	144	90
448	144	89
449	145	89
450	145	89
451	145	88
452	145	88
453	146	88
454	146	87
455	146	87
456	147	87
457	147	86
458	147	86
459	148	86
460	148	85
461	148	85
462	149	85
463	149	84
464	149	84
465	149	84
466	150	83
467	150	83
468	150	83
469	151	82
470	151	82
471	151	82
472	151	81
473	152	81
474	152	81
475	153	81
476	153	80
477	153	80
478	154	80
479	154	79
480	154	79
481	155	79
482	155	78
483	155	78
484	156	78
485	156	77
486	156	77
487	157	77
488	157	76
489	157	76
490	157	76
491	158	75
492	158	75
493	158	75
494	159	74
495	159	74
496	159	74
497	160	73
498	160	73
499	160	73
500	161	72
501	161	72
502	161	72
503	162	72
504	162	71
505	162	71
506	163	71
507	163	70
508	163	70
509	164	70
510	164	69
511	164	69
512	165	69
513	165	68
514	165	68
515	165	68
516	166	67
